"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Slider_LH.object.2.Value","Random_ID"
"1",1707933366022,"14/02/2024 17:56:06",1707933366022,0,"14/02/2024 17:56:06",163173,5,"questionnaire-txxf",NA,35152598,10388064,NA,"complete",NA,"65ccf8fe9e917c11e93bf0d8","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1358x654",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"In",4,"-94","MDPRF69675"
"1",1707933391787,"14/02/2024 17:56:31",1707933391787,0,"14/02/2024 17:56:31",163173,5,"questionnaire-txxf",NA,35152633,10387877,NA,"complete",NA,"65ccf95806151f0d36e04283","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x681",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"In",2,"51","MDPRF88097"
"1",1707933658748,"14/02/2024 18:00:58",1707933658748,0,"14/02/2024 18:00:58",163173,5,"questionnaire-txxf",NA,35152909,10387879,NA,"complete",NA,"65ccf9a2b0efb42d06251545","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1318x646",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",NA,"In",2,"-60","MDPRF72992"
"1",1707933879289,"14/02/2024 18:04:39",1707933879289,0,"14/02/2024 18:04:39",163173,5,"questionnaire-txxf",NA,35153165,10388170,NA,"complete",NA,"65ccff7276d1e7e176ecd8cb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 95.0.4638.54","1440x900","1440x821",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",NA,"In",1,"-88","MDPRF50626"
"1",1707934129814,"14/02/2024 18:08:49",1707934129814,0,"14/02/2024 18:08:49",163173,5,"questionnaire-txxf",NA,35153379,10388203,NA,"complete",NA,"65ccff82f200e9541dc03e61","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1280x720","1280x617",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",NA,"In",2,"-82","MDPRF65249"
"1",1707935598155,"14/02/2024 18:33:18",1707913998155,-6,"14/02/2024 06:33:18",163173,5,"questionnaire-txxf",NA,35154362,10388441,NA,"complete",NA,"65cd0587377ad148b585ac2e","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",NA,"In",4,"-62","MDPRF56429"
"1",1707937964209,"14/02/2024 19:12:44",1707937964209,0,"14/02/2024 19:12:44",163173,5,"questionnaire-txxf",NA,35155633,10388716,NA,"complete",NA,"65cd0d38500351e8c8f80863","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x632",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",NA,"In",1,"-65","MDPRF66474"
"1",1707939048044,"14/02/2024 19:30:48",1707939048044,0,"14/02/2024 19:30:48",163173,5,"questionnaire-txxf",NA,35156261,10388818,NA,"complete",NA,"65cd107fe75dfbcced622892","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1536x864","1528x742",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",NA,"In",3,"58","MDPRF26473"
"1",1707939947164,"14/02/2024 19:45:47",1707939947164,0,"14/02/2024 19:45:47",163173,5,"questionnaire-txxf",NA,35156662,10388952,NA,"complete",NA,"65cd14d809dab9082ed13b86","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","865x673",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"In",2,"37","MDPRF32263"
"1",1707991711698,"15/02/2024 10:08:31",1707991711698,0,"15/02/2024 10:08:31",163173,5,"questionnaire-txxf",NA,35167854,10392283,NA,"complete",NA,"65cde243ec9cc1ea25fb3407","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x929",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"In",1,"47","MDPRF41593"
