"","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"65","APPROVED","Not Applicable","2024-02-14T17:38:50.303000Z","2024-02-14T19:24:41.968000Z","2024-02-15T10:19:48.712000Z","2024-02-14T19:24:42.468448Z",6352,"NOCODE",1752,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF32301"
"66","APPROVED","Not Applicable","2024-02-14T17:59:18.418000Z","2024-02-14T18:39:27.120000Z","2024-02-15T10:10:52.550000Z","2024-02-14T18:39:27.813843Z",2409,"C1FKYHSS",328,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","MDPRF50626"
"67","APPROVED","Not Applicable","2024-02-14T18:25:24.078000Z","2024-02-14T18:58:54.747000Z","2024-02-15T10:22:03.036000Z","2024-02-14T18:58:55.311618Z",2011,"C1FKYHSS",3536,"English","23","Female","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF56429"
"68","APPROVED","Not Applicable","2024-02-14T19:13:17.906000Z","2024-02-14T20:02:51.264000Z","2024-02-15T10:22:03.231000Z","2024-02-14T20:02:51.816253Z",2974,"C1FKYHSS",427,"Punjabi, Urdu, English","18","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","MDPRF26473"
"69","APPROVED","Not Applicable","2024-02-14T19:30:37.743000Z","2024-02-14T20:13:35.251000Z","2024-02-15T10:17:19.258000Z","2024-02-14T20:13:36.227770Z",2578,"C1FKYHSS",1438,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","MDPRF32263"
"70","APPROVED","Not Applicable","2024-02-15T10:02:38.185000Z","2024-02-15T10:34:41.275000Z","2024-02-15T15:49:12.435000Z","2024-02-15T10:34:41.816859Z",1924,"C1FKYHSS",379,"English, German","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","MDPRF79831"
"71","APPROVED","Not Applicable","2024-02-15T10:05:21.138000Z","2024-02-15T10:55:47.903000Z","2024-02-15T15:50:47.510000Z","2024-02-15T10:55:48.793102Z",3027,"C1FKYHSS",559,"English","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","MDPRF72552"
"72","APPROVED","Not Applicable","2024-02-15T10:29:08.177000Z","2024-02-15T10:56:57.857000Z","2024-02-15T15:50:47.945000Z","2024-02-15T10:56:58.571015Z",1670,"C1FKYHSS",243,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","MDPRF08258"
"73","APPROVED","Not Applicable","2024-02-15T10:24:45.193000Z","2024-02-15T10:59:50.349000Z","2024-02-15T15:52:10.354000Z","2024-02-15T10:59:50.896458Z",2106,"C1FKYHSS",267,"English","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF02973"
"74","APPROVED","Not Applicable","2024-02-15T10:24:54.048000Z","2024-02-15T11:00:05.439000Z","2024-02-15T15:50:48.221000Z","2024-02-15T11:00:05.967314Z",2112,"C1FKYHSS",570,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF42986"
"75","APPROVED","Not Applicable","2024-02-15T10:28:51.886000Z","2024-02-15T11:15:57.602000Z","2024-02-15T15:47:54.893000Z","2024-02-15T11:15:58.117286Z",2826,"C1FKYHSS",384,"English","20","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","MDPRF73286"
"76","APPROVED","Not Applicable","2024-02-15T10:29:12.735000Z","2024-02-15T11:11:31.532000Z","2024-02-15T15:47:55.269000Z","2024-02-15T11:11:32.755013Z",2539,"C1FKYHSS",81,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF93128"
"77","APPROVED","Not Applicable","2024-02-15T10:31:30.538000Z","2024-02-15T11:13:21.366000Z","2024-02-15T15:50:48.456000Z","2024-02-15T11:13:21.970211Z",2511,"C1FKYHSS",435,"English","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","MDPRF51662"
"78","APPROVED","Not Applicable","2024-02-15T10:32:15.899000Z","2024-02-15T11:24:23.772000Z","2024-02-15T15:50:48.726000Z","2024-02-15T11:24:24.282387Z",3128,"C1FKYHSS",52,"English, Pashto","22","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF26790"
"79","APPROVED","Not Applicable","2024-02-15T10:33:52.240000Z","2024-02-15T11:16:29.591000Z","2024-02-15T15:50:48.991000Z","2024-02-15T11:16:30.147023Z",2558,"C1FKYHSS",89,"English, German","25","Female","White","Germany","United Kingdom","Germany","German","No","Other","MDPRF73193"
"80","APPROVED","Not Applicable","2024-02-15T10:49:32.993000Z","2024-02-15T11:22:23.170000Z","2024-02-15T15:53:04.136000Z","2024-02-15T11:22:23.661768Z",1971,"C1FKYHSS",68,"English","19","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF04034"
"81","APPROVED","Not Applicable","2024-02-14T16:43:54.388000Z","2024-02-14T17:35:29.903000Z","2024-02-15T10:22:01.531000Z","2024-02-14T17:35:30.926000Z",3096,"C1FKYHSS",707,"English, Nepali","21","Female","Asian","Nepal","United Kingdom","Nepal","Nepali","Yes","Other","MDPRF13138"
"82","APPROVED","Not Applicable","2024-02-14T16:49:54.165000Z","2024-02-14T17:27:34.022000Z","2024-02-15T10:19:47.911000Z","2024-02-14T17:27:34.863000Z",2260,"C1FKYHSS",620,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","MDPRF63569"
"83","APPROVED","Not Applicable","2024-02-14T16:56:02.534000Z","2024-02-14T17:50:08.745000Z","2024-02-15T10:17:17.443000Z","2024-02-14T17:50:09.755000Z",3247,"C1FKYHSS",329,"English","25","Female","DATA_EXPIRED","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF73191"
"84","APPROVED","Not Applicable","2024-02-14T16:57:04.361000Z","2024-02-14T17:43:17.375000Z","2024-02-15T10:22:01.838000Z","2024-02-14T17:43:18.107000Z",2774,"C1FKYHSS",289,"English","25","Female","Mixed","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","MDPRF12765"
"85","APPROVED","Not Applicable","2024-02-14T16:58:57.636000Z","2024-02-14T17:38:58.791000Z","2024-02-15T10:19:48.254000Z","2024-02-14T17:38:59.778000Z",2402,"C1FKYHSS",285,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF79833"
"86","APPROVED","Not Applicable","2024-02-14T17:01:14.235000Z","2024-02-14T17:47:56.027000Z","2024-02-15T10:17:17.789000Z","2024-02-14T17:47:57.054000Z",2802,"C1FKYHSS",616,"English","21","Female","DATA_EXPIRED","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","MDPRF47263"
