"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1695830978545,"27/09/2023 16:09:38",1695816578545,-4,"27/09/2023 08:09:38",144339,3,"questionnaire-qxhw",NA,31901224,9432685,NA,"complete","yftxkc","3JPSL1DZ5YYD5GK8B5V5QH06B3EANR","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","2049x928",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCAB",NA,"LH","1-0","1","SUPAMT54803"
"1",1695831016891,"27/09/2023 16:10:16",1695816616891,-4,"27/09/2023 08:10:16",144339,3,"questionnaire-qxhw",NA,31901244,9432718,NA,"complete","gzpprf","3TDXMTX3CHTK4DXEOC115423TLUI6T","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKA",NA,"HL","1-0","1","SUPAMT54273"
"1",1695831853473,"27/09/2023 16:24:13",1695817453473,-4,"27/09/2023 08:24:13",144339,3,"questionnaire-qxhw",NA,31901608,9433140,NA,"complete","dofxgn","3R3YRB5GRL2Q064H867R4CS0JZGAUS","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","BCADKEJFIGH",NA,"HL","1-0","1","SUPAMT75167"
"1",1695834610713,"27/09/2023 17:10:10",1695820210713,-4,"27/09/2023 09:10:10",144339,3,"questionnaire-qxhw",NA,31902987,9433137,NA,"complete","ohuzza","34V1S5K3GY0RTC4BKIVOSB30AVG96A","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"LH","1","2","SUPAMT59092"
"1",1695832112480,"27/09/2023 16:28:32",1695817712480,-4,"27/09/2023 08:28:32",144339,3,"questionnaire-qxhw",NA,31901745,9433143,NA,"complete","kozjey","30IQTZXKAQ5MGX0UL9LLZDFR4VL0XJ","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHKIJ",NA,"HL","1-0","1","SUPAMT01454"
"1",1695832122754,"27/09/2023 16:28:42",1695817722754,-4,"27/09/2023 08:28:42",144339,3,"questionnaire-qxhw",NA,31901748,9433183,NA,"complete","thlvwj","34PGFRQONUAET3WQXCZ5FZGGU2KWJS","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1280x800","1600x813",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJK",NA,"LH","1-0","1","SUPAMT00201"
"1",1695832189594,"27/09/2023 16:29:49",1695817789594,-4,"27/09/2023 08:29:49",144339,3,"questionnaire-qxhw",NA,31901777,9433144,NA,"complete","wlbrqv","3C6FJU71TWSRWO2KOCL77YA7MQIYUP","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1517x687",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"LH","1-0","1","SUPAMT43564"
"1",1695832776813,"27/09/2023 16:39:36",1695818376813,-4,"27/09/2023 08:39:36",144339,3,"questionnaire-qxhw",NA,31902035,9433215,NA,"complete","lwcomv","37KGEN7NJ9PKV52NG3QUK1UWA4OPPR","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKA",NA,"LH","1-0","1","SUPAMT17025"
"1",1695835832147,"27/09/2023 17:30:32",1695821432147,-4,"27/09/2023 09:30:32",144339,3,"questionnaire-qxhw",NA,31903855,9433724,NA,"complete","oecrax","3QAVNHZ3ES3NHGHNZSFQDPWH69ZLAN","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","HIGJFKEADBC",NA,"HL","1-0","1","SUPAMT32807"
"1",1695840205053,"27/09/2023 18:43:25",1695822205053,-5,"27/09/2023 08:43:25",144339,3,"questionnaire-qxhw",NA,31903968,9433728,NA,"complete","eqaxxc","3DI28L7YXGDDHMUVMNZTPTDUTHI1EG","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1707x960","1366x668",NA,NA,0,"Attention Check 2",2,"In","IJHKGAFBECD",NA,"LH","1-0","1","SUPAMT54694"
