,A : bored,B : constraint,D : end,E : end_taper,F : exp_OCT,G : external OCT,H : external_distraction,I : frequency_ratings,J : frustrated,K : happy_asmood,L : insight,N : mind_wander,O : no_choice_frustration,P : positive_extOCT,Q : time_itself,R : unhappy
238 : MDPRF81258,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0
239 : MDPRF82071,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
240 : MDPRF82114,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
241 : MDPRF82423,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0
242 : MDPRF83161,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
243 : MDPRF83214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
244 : MDPRF83537,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
245 : MDPRF83624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246 : MDPRF84161,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
247 : MDPRF84235,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1
248 : MDPRF84244,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249 : MDPRF84358,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
250 : MDPRF84568,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
251 : MDPRF84771,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
252 : MDPRF84965,1,0,0,2,2,0,0,0,2,0,0,1,0,0,0,0
253 : MDPRF85212,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
254 : MDPRF85491,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
255 : MDPRF85563,2,0,1,0,0,0,0,1,2,0,0,0,0,0,2,0
256 : MDPRF87296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257 : MDPRF87343,1,0,0,0,0,2,0,0,2,0,0,1,0,0,1,1
258 : MDPRF87668,2,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1
259 : MDPRF87900,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
260 : MDPRF87902,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0
261 : MDPRF88277,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
262 : MDPRF90095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263 : MDPRF90439,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
264 : MDPRF90577,2,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0
265 : MDPRF90767,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
266 : MDPRF91204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
267 : MDPRF91437,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
268 : MDPRF91483,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
269 : MDPRF91520,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
270 : MDPRF92668,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271 : MDPRF93027,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
272 : MDPRF93290,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
273 : MDPRF93384,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
274 : MDPRF93810,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
275 : MDPRF93913,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
276 : MDPRF93965,1,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0
277 : MDPRF94098,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
278 : MDPRF94438,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
279 : MDPRF95242,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
280 : MDPRF96371,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
281 : MDPRF96644,2,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0
282 : MDPRF96879,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
283 : MDPRF97151,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0
284 : MDPRF97235,2,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0
285 : MDPRF97296,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
286 : MDPRF97544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287 : MDPRF97669,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
288 : MDPRF98287,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
289 : MDPRF98352,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
290 : MDPRF98418,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
291 : MDPRF98515,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
292 : MDPRF98578,3,0,0,0,2,1,0,0,1,0,0,1,0,0,1,0
293 : MDPRF98699,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
294 : MDPRF98846,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
295 : MDPRF98886,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
296 : MDPRF99297,1,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0
297 : MDPRF99317,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
298 : MDPRF99469,1,0,0,1,2,0,0,0,2,0,0,1,0,0,1,0
299 : MDPRF99843,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
300 : MDPRF99900,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
